,title,artist,released,lyrics
0,Like a Rolling Stone,Bob Dylan,"July, 1965","Once upon a time you dressed so fineThrew the bums a dime in your prime, didn't you?People call, say ""Beware doll, you're bound to fall""You thought they were all a-kiddin' youYou used to laugh aboutEverybody that was hangin' outNow you don't talk so loudNow you don't seem so proudAbout having to be scrounging your next mealHow does it feel?How does it feel?To be without a home?Like a complete unknown?Like a rolling stone?Aw, you've gone to the finest school all right, Miss LonelyBut ya know ya only used to get juiced in itNobody's ever taught ya how to live out on the streetAnd now youâre gonna have to get used to itYou say you never compromiseWith the mystery tramp, but now you realizeHe's not selling any alibisAs you stare into the vacuum of his eyesAnd say, âDo you want to make a deal?""How does it feel?How does it feel?To be on your ownWith no direction homeA complete unknownLike a rolling stone?"
1,(I Can't Get No) Satisfaction',The Rolling Stones,"May, 1965","I can't get no satisfactionI can't get no satisfaction'Cause I try and I try and I try and I tryI can't get no, I can't get noWhen I'm driving in my carAnd that man comes on the radioAnd he's telling me more and moreAbout some useless informationSupposed to fire my imaginationI can't get no, oh no, no, no!Hey, hey, hey! That's what I'll say!I can't get no satisfactionI can't get no satisfaction'Cause I try, and I try, and I try, and I tryI can't get no, I can't get noWhen I'm watching my TVAnd a man comes on and tells meHow white my shirts can beWell he can't be a man 'cause he doesn't smokeThe same cigarettes as meI can't get no, oh no, no, noHey, hey, hey, that's what I sayI can't get no satisfactionI can't get no girl reaction'Cause I try, and I try, and I try, and I tryI can't get no, I can't get noWhen I'm riding 'round the worldAnd I'm doing this and I'm signing thatAnd I'm trying to make some girlWho tells me baby, better come back, maybe next week'Cause you see, I'm on a losing streakI can't get no, oh no, no, noHey, hey, hey! That's what I'll say!"
2,Imagine,John Lennon,"October, 1971","Imagine there's no heavenIt's easy if you tryNo hell below usAbove us, only skyImagine all the peopleLiving for todayIImagine there's no countriesIt isn't hard to doNothing to kill or die forAnd no religion tooImagine all the peopleLiving life in peaceYouYou may say I'm a dreamerBut I'm not the only oneI hope someday you'll join usAnd the world will be as oneImagine no possessionsI wonder if you canNo need for greed or hungerA brotherhood of manImagine all the peopleSharing all the worldYouYou may say I'm a dreamerBut I'm not the only oneI hope someday you'll join usAnd the world will live as one"
3,What's Going On,Marvin Gaye,"Feb, 1971","Hey, hey-heyHey, what's happenin'?Hey, brother, what's happenin'?Boy, this is a groovy party Man, I can dig itYeah, brother, solid, right onWhat's happenin'?Hey, man, what's happening?WooEverything is everythingWe're gonna do a get down today, boy, I'll tell yaMother, motherThere's too many of you cryingBrother, brother, brotherThere's far too many of you dyingYou know we've got to find a wayTo bring some loving here today, yeahFather, fatherWe don't need to escalateYou see, war is not the answerFor only love can conquer hateYou know we've got to find a wayTo bring some loving here today, oh Picket lines  and picket signs Don't punish me  with brutality Talk to me , so you can see Oh, what's going on What's going on Yeah, what's going on Oh, what's going onAh-ah-ah-ah Woo , wooAh-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-yaWoo , wooAh-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-yaBa-da-boo-doo, boo-boo-boo-doo, boo-boo-booBa-da-boo-boo-boo-doo, boo-boo-boo-ba-ba-do"
4,Respect,Aretha Franklin,"April, 1967","What you want, baby, I got itWhat you need, do you know I got it?All I'm askin' is for a little respect when you come home Hey baby when you get home misterI ain't gonna do you wrong while you're goneAin't gon' do you wrong 'cause I don't wannaAll I'm askin' is for a little respect when you come home Baby When you get home YeahI'm about to give you all of my moneyAnd all I'm askin' in return, honeyIs to give me my propers when you get home Yeah, baby When you get home YeahOoh, your kisses, sweeter than honeyAnd guess what? So is my money"
5,Good Vibrations,The Beach Boys,"October, 1966","I-I love the colorful clothes she wearsAnd the way the sunlight plays upon her hairI hear the sound of a gentle wordOn the wind that lifts her perfume through the airI'm pickin' up good vibrationsShe's giving me excitations I'm pickin' up good vibrations She's giving me excitations I'm pickin' up good vibrations She's giving me excitations I'm pickin' up good vibrations She's giving me excitations Close my eyes, she's somehow closer nowSoftly smile, I know she must be kindWhen I look in her eyesShe goes with me to a blossom worldI'm pickin' up good vibrationsShe's giving me excitations I'm pickin' up good vibrations She's giving me excitations I'm pickin' up good vibrations She's giving me excitations I'm pickin' up good vibrations She's giving me excitations I don't know where but she sends me thereGotta keep those lovin' good vibrations a-happenin' with herGotta keep those lovin' good vibrations a-happenin' with herGotta keep those lovin' good vibrations a-happenin'"
6,Johnny B. Goode,Chuck Berry,"April, 1958","Deep down in Louisiana close to New OrleansWay back up in the woods among the evergreensThere stood a log cabin made of earth and woodWhere lived a country boy named Johnny B. GoodeWho never ever learned to read or write so wellBut he could play a guitar just like a ringing a bellGo, goGo Johnny go, goGo Johnny go, goGo Johnny go, goGo Johnny go, goJohnny B. GoodeHe used to carry his guitar in a gunny sackGo sit beneath the tree by the railroad trackOh, the engineers would see him sitting in the shadeStrumming with the rhythm that the drivers madePeople passing by they would stop and sayOh my, but that little country boy could playGo, goGo Johnny go, goGo Johnny go, goGo Johnny go, goGo Johnny go, goJohnny B. GoodeHis mother told him ""Someday you will be a manAnd you will be the leader of a big old bandMany people coming from miles aroundTo hear you play your music when the sun go downMaybe someday your name will be in lightsSaying 'Johnny B. Goode Tonight'""Go, goGo Johnny goGo go go, Johnny goOh go go, Johnny goOh go go, Johnny goGo, Johnny B. Goode"
7,Hey Jude,The Beatles,"Aug, 1968","Hey, Jude, don't make it badTake a sad song and make it betterRemember to let her into your heartThen you can start to make it betterHey, Jude, don't be afraidYou were made to go out and get herThe minute you let her under your skinThen you begin to make it betterAnd anytime you feel the pain, hey, Jude, refrainDon't carry the world upon your shouldersFor well you know that it's a fool who plays it coolBy making his world a little colderNa-na-na-na-na, na-na-na-naHey, Jude, don't let me downYou have found her, now go and get herRemember  to let her into your heartThen you can start to make it betterSo let it out and let it in, hey, Jude, beginYou're waiting for someone to perform withAnd don't you know that it's just you, hey, Jude, you'll doThe movement you need is on your shoulderNa-na-na-na-na, na-na-na-na, yeahHey, Jude, don't make it badTake a sad song and make it betterRemember to let her under your skinThen you'll begin to make it Better, better, better, better, better, better, oh"
8,Smells Like Teen Spirit,Nirvana,"Sep, 1991","Load up on guns, bring your friendsIt's fun to lose and to pretendShe's over-bored and self-assuredOh no, I know a dirty wordHello, hello, hello, how lowHello, hello, hello, how lowHello, hello, hello, how lowHello, hello, helloWith the lights out, it's less dangerousHere we are now, entertain usI feel stupid and contagiousHere we are now, entertain usA mulatto, an albinoA mosquito, my libidoYeah, hey, yayI'm worse at what I do bestAnd for this gift, I feel blessedOur little group has always beenAnd always will until the endHello, hello, hello, how lowHello, hello, hello, how lowHello, hello, hello, how lowHello, hello, helloWith the lights out, it's less dangerousHere we are now, entertain usI feel stupid and contagiousHere we are now, entertain usA mulatto, an albinoA mosquito, my libido"
9,What'd I Say,Ray Charles,"June, 1959","Hey mama, don't you treat me wrongCome and love your daddy all night longAlright now, hey hey, alrightSee the girl with the diamond ringShe knows how to shake that thingAlright now now now, hey hey, hey heyTell your mama, tell your paI'm gonna send you back to ArkansasOh yes, ma'am, you don't do right, don't do rightWhen you see me in miseryCome on, baby, see about meNow yeah, alright, alright, ah, play it, boyWhen you see me in miseryCome on, baby, see about meNow yeah, hey hey, alrightSee the girl with the red dress onShe can do the Birdland all night longYeah yeah, what'd I say, alrightWell, tell me what'd I say, yeahTell me what'd I say right nowTell me what'd I sayTell me what'd I say right nowTell me what'd I sayTell me what'd I say, yeahAnd I wanna knowBaby, I wanna know right nowAnd-a I wanna knowAnd I wanna know right now, yeahAnd-a I wanna knowSaid I wanna know, yeah"
